,name,link,mark,episode or len,type,genre,comments,year
441,Мобильный воин Гандам: Происхождение — Прибытие Красной кометы,https://shikimori.one/animes/39592-mobile-suit-gundam-the-origin-advent-of-the-red-comet,8.09,13,TV Сериал,Экшен,8 комментариев,С 29 апреля 2019 г. по 12 августа 2019 г.
442,Время Евы ONA,https://shikimori.one/animes/3167-eve-no-jikan,8.08,6,ONA,Фантастика,72 комментария,
443,Легенда о героях Галактики: Спиральный лабиринт,https://shikimori.one/animes/3665-ginga-eiyuu-densetsu-gaiden-1999,8.08,28,OVA,Экшен,40 комментариев,
444,Стеклянная маска (2005),https://shikimori.one/animes/1974-glass-no-kamen-2005,8.08,51,TV Сериал,Драма,68 комментариев,С 6 апреля 2005 г. по 29 марта 2006 г.
445,Повар-боец Сома: Третье блюдо,https://shikimori.one/animes/35788-shokugeki-no-souma-san-no-sara,8.09,12,TV Сериал,Этти,728 комментариев,С 4 октября 2017 г. по 20 декабря 2017 г.
446,О моём перерождении в слизь,https://shikimori.one/animes/z37430-tensei-shitara-slime-datta-ken,8.09,24,TV Сериал,Экшен,2245 комментариев,С 2 октября 2018 г. по 19 марта 2019 г.
447,Инициал Ди: Стадия пятая,https://shikimori.one/animes/15059-initial-d-fifth-stage,8.08,14,TV Сериал,Экшен,85 комментариев,С 4 ноября 2012 г. по 10 мая 2013 г.
448,Триплексоголик: Весенний сон,https://shikimori.one/animes/4918-xxxholic-shunmuki,8.08,2,OVA,Детектив,10 комментариев,
449,"Как и ожидалось, моя школьная романтическая жизнь не удалась 2 OVA",https://shikimori.one/animes/33161-yahari-ore-no-seishun-love-comedy-wa-machigatteiru-zoku-ova,8.08,23 мин.,OVA,Комедия,647 комментариев,
450,Король храбрецов Гаогайгар,https://shikimori.one/animes/1382-yuusha-ou-gaogaigar-final,8.08,8,OVA,Приключения,10 комментариев,
451,Повесть о стране цветных облаков 2,https://shikimori.one/animes/1914-saiunkoku-monogatari-2nd-season,8.07,39,TV Сериал,Приключения,30 комментариев,С 7 апреля 2007 г. по 8 марта 2008 г.
452,Дом из маленьких кубиков,https://shikimori.one/animes/5365-tsumiki-no-ie,8.07,12 мин.,Фильм,Драма,56 комментариев,
453,Детектив Конан: Реквием детективов,https://shikimori.one/animes/1506-detective-conan-movie-10-requiem-of-the-detectives,8.07,1 час 51 мин.,Фильм,Приключения,4 комментария,
454,Евангелион 1.11: Ты (не) один,https://shikimori.one/animes/2759-evangelion-1-0-you-are-not-alone,8.07,1 час 41 мин.,Фильм,Экшен,324 комментария,
455,Стальная тревога? Фумоффу,https://shikimori.one/animes/72-full-metal-panic-fumoffu,8.07,12,TV Сериал,Экшен,97 комментариев,С 26 августа 2003 г. по 18 октября 2003 г.
456,Гинтама: Грандиозное собрание,https://shikimori.one/animes/z10643-gintama-dai-hanseikai,8.07,14 мин.,Спешл,Экшен,7 комментариев,
457,Волейбол!! Гений и чувство,https://shikimori.one/animes/z35110-haikyuu-movie-3-sainou-to-sense,8.07,1 час 29 мин.,Фильм,Комедия,14 комментариев,
458,Одному лишь Богу ведомый мир III: Богини,https://shikimori.one/animes/z16706-kami-nomi-zo-shiru-sekai-megami-hen,8.07,12,TV Сериал,Гарем,462 комментария,С 9 июля 2013 г. по 24 сентября 2013 г.
459,Граница пустоты 3: Оставшееся чувство боли,https://shikimori.one/animes/3783-kara-no-kyoukai-3-tsuukaku-zanryuu,8.07,59 мин.,Фильм,Экшен,51 комментарий,
460,Баскетбол Куроко: Последняя игра,https://shikimori.one/animes/31658-kuroko-no-basket-movie-4-last-game,8.07,1 час 30 мин.,Фильм,Спорт,335 комментариев,
461,С сегодняшнего дня!,https://shikimori.one/animes/851-kyou-kara-ore-wa,8.07,10,OVA,Комедия,59 комментариев,
462,Безоблачное завтра,https://shikimori.one/animes/16067-nagi-no-asu-kara,8.07,26,TV Сериал,Драма,523 комментария,С 3 октября 2013 г. по 3 апреля 2014 г.
463,Первые шаги 2,https://shikimori.one/animes/27663-baby-steps-2nd-season,8.06,25,TV Сериал,Спорт,179 комментариев,С 5 апреля 2015 г. по 20 сентября 2015 г.
464,Городской охотник 2,https://shikimori.one/animes/1471-city-hunter-2,8.06,63,TV Сериал,Экшен,16 комментариев,С 2 апреля 1988 г. по 14 июля 1989 г.
465,Кланнад,https://shikimori.one/animes/z2167-clannad,8.06,23,TV Сериал,Комедия,1726 комментариев,С 5 октября 2007 г. по 28 марта 2008 г.
466,Двенадцать королевств,https://shikimori.one/animes/153-juuni-kokuki,8.06,45,TV Сериал,Экшен,189 комментариев,С 9 апреля 2002 г. по 30 августа 2003 г.
467,Этот замечательный мир! 2 OVA,https://shikimori.one/animes/34626-kono-subarashii-sekai-ni-shukufuku-wo-2-kono-subarashii-geijutsu-ni-shukufuku-wo,8.06,28 мин.,OVA,Магия,185 комментариев,
468,Трогательный комплекс,https://shikimori.one/animes/2034-lovely-complex,8.06,24,TV Сериал,Комедия,394 комментария,С 7 апреля 2007 г. по 29 сентября 2007 г.
469,Моя геройская академия: Восхождение героев,https://shikimori.one/animes/39565-boku-no-hero-academia-the-movie-2-heroes-rising,8.06,1 час 44 мин.,Фильм,Экшен,157 комментариев,
470,Патриотизм Мориарти,https://shikimori.one/animes/40911-yuukoku-no-moriarty,8.06,11,TV Сериал,Детектив,1063 комментария,
471,Маги: Лабиринт магии,https://shikimori.one/animes/z14513-magi-the-labyrinth-of-magic,8.06,25,TV Сериал,Экшен,327 комментариев,С 7 октября 2012 г. по 31 марта 2013 г.
472,Паприка,https://shikimori.one/animes/1943-paprika,8.06,1 час 30 мин.,Фильм,Безумие,239 комментариев,
473,Рыцари Зодиака: Глава Аида — Убежище,https://shikimori.one/animes/1257-saint-seiya-meiou-hades-juuni-kyuu-hen,8.06,13,OVA,Приключения,14 комментариев,
474,Некий научный Рейлган S,https://shikimori.one/animes/16049-toaru-kagaku-no-railgun-s,8.06,24,TV Сериал,Экшен,539 комментариев,С 12 апреля 2013 г. по 27 сентября 2013 г.
475,"Как и ожидалось, моя школьная романтическая жизнь не удалась",https://shikimori.one/animes/14813-yahari-ore-no-seishun-love-comedy-wa-machigatteiru,8.06,13,TV Сериал,Повседневность,1673 комментария,С 5 апреля 2013 г. по 28 июня 2013 г.
476,"Останься со мной, Дораэмон!",https://shikimori.one/animes/21469-stand-by-me-doraemon,8.06,1 час 34 мин.,Фильм,Комедия,8 комментариев,
477,Ура мечте! 3,https://shikimori.one/animes/z37870-bang-dream-3rd-season,8.05,13,TV Сериал,Музыка,84 комментария,
478,Принц Света: Легенда о Рамаяне,https://shikimori.one/animes/4921-ramayana-the-legend-of-prince-rama,8.05,2 часа 15 мин.,Фильм,Приключения,1 комментарий,
479,Токийское восьмибалльное,https://shikimori.one/animes/z6211-tokyo-magnitude-8-0,8.05,11,TV Сериал,Драма,197 комментариев,С 10 июля 2009 г. по 18 сентября 2009 г.
480,Девушки и танки: Финал. Часть 2,https://shikimori.one/animes/38081-girls-panzer-saishuushou-part-2,8.05,55 мин.,Фильм,Военное,77 комментариев,
481,Йона на заре,https://shikimori.one/animes/z25013-akatsuki-no-yona,8.05,24,TV Сериал,Экшен,2087 комментариев,С 7 октября 2014 г. по 24 марта 2015 г.
482,Пираты «Чёрной лагуны»,https://shikimori.one/animes/889-black-lagoon,8.05,12,TV Сериал,Экшен,498 комментариев,С 9 апреля 2006 г. по 25 июня 2006 г.
483,Пираты «Чёрной лагуны»: Кровавая тропа Роберты,https://shikimori.one/animes/z4901-black-lagoon-roberta-s-blood-trail,8.05,5,OVA,Экшен,109 комментариев,
484,Ди Грэй-мен,https://shikimori.one/animes/1482-d-gray-man,8.05,103,TV Сериал,Экшен,684 комментария,С 3 октября 2006 г. по 30 сентября 2008 г.
485,Время Евы,https://shikimori.one/animes/7465-eve-no-jikan-movie,8.05,1 час 46 мин.,Фильм,Фантастика,207 комментариев,
486,Промар,https://shikimori.one/animes/35848-promare,8.05,1 час 51 мин.,Фильм,Экшен,514 комментариев,
487,Мёд и клевер,https://shikimori.one/animes/16-hachimitsu-to-clover,8.05,24,TV Сериал,Комедия,106 комментариев,С 15 апреля 2005 г. по 27 сентября 2005 г.
488,Староста-горничная,https://shikimori.one/animes/7054-kaichou-wa-maid-sama,8.05,26,TV Сериал,Комедия,763 комментария,С 2 апреля 2010 г. по 24 сентября 2010 г.
489,Детектив Конан: Последний волшебник века,https://shikimori.one/animes/781-detective-conan-movie-03-the-last-wizard-of-the-century,8.04,1 час 40 мин.,Фильм,Приключения,13 комментариев,
490,Детектив Конан: Потерянное в памяти,https://shikimori.one/animes/1363-detective-conan-movie-04-captured-in-her-eyes,8.04,1 час 40 мин.,Фильм,Приключения,4 комментария,
491,Эф — история мелодий,https://shikimori.one/animes/z4789-ef-a-tale-of-melodies,8.04,12,TV Сериал,Детектив,234 комментария,С 7 октября 2008 г. по 23 декабря 2008 г.
492,Скейт: Бесконечность,https://shikimori.one/animes/42923-sk,8.04,12,TV Сериал,Комедия,463 комментария,
493,Легенда о Серебряном Клыке: Падающая звезда Гин,https://shikimori.one/animes/589-ginga-nagareboshi-gin,8.04,21,TV Сериал,Экшен,22 комментария,С 7 апреля 1986 г. по 22 августа 1986 г.
494,"Очень приятно, Бог",https://shikimori.one/animes/z14713-kamisama-hajimemashita,8.04,13,TV Сериал,Комедия,443 комментария,С 2 октября 2012 г. по 25 декабря 2012 г.
495,Детская игрушка,https://shikimori.one/animes/1486-kodomo-no-omocha-tv,8.04,102,TV Сериал,Комедия,106 комментариев,С 5 апреля 1996 г. по 27 марта 1998 г.
496,Патэма наоборот,https://shikimori.one/animes/12477-sakasama-no-patema,8.04,1 час 38 мин.,Фильм,Приключения,502 комментария,
497,Эксперименты Лэйн,https://shikimori.one/animes/339-serial-experiments-lain,8.04,13,TV Сериал,Безумие,1313 комментариев,С 6 июля 1998 г. по 28 сентября 1998 г.
498,Рубаки Некст,https://shikimori.one/animes/535-slayers-next,8.04,26,TV Сериал,Приключения,35 комментариев,С 5 апреля 1996 г. по 27 сентября 1996 г.
499,Девчонка не промах 2,https://shikimori.one/animes/39570-high-score-girl-ii,8.04,9,TV Сериал,Комедия,210 комментариев,С 26 октября 2019 г. по 21 декабря 2019 г.
