,name,link,mark,episode or len,type,genre,comments,year
324,Пираты «Чёрной лагуны»: Второй залп,https://shikimori.one/animes/x1519-black-lagoon-the-second-barrage,8.19,12,TV Сериал,Экшен,258 комментариев,С 3 октября 2006 г. по 19 декабря 2006 г.
325,Моя геройская академия 3,https://shikimori.one/animes/36456-boku-no-hero-academia-3rd-season,8.19,25,TV Сериал,Экшен,1349 комментариев,С 7 апреля 2018 г. по 29 сентября 2018 г.
326,Великий из бродячих псов 3,https://shikimori.one/animes/38003-bungou-stray-dogs-3rd-season,8.19,12,TV Сериал,Экшен,596 комментариев,С 12 апреля 2019 г. по 28 июня 2019 г.
327,Приключения Дигимонов: Последняя эволюция,https://shikimori.one/animes/38088-digimon-adventure-last-evolution-kizuna,8.19,1 час 34 мин.,Фильм,Экшен,19 комментариев,
328,Доходный дом Иккоку,https://shikimori.one/animes/1453-maison-ikkoku,8.19,96,TV Сериал,Повседневность,77 комментариев,С 26 марта 1986 г. по 2 марта 1988 г.
329,Праздник кукол,https://shikimori.one/animes/z36296-hinamatsuri-tv,8.19,12,TV Сериал,Фантастика,277 комментариев,С 6 апреля 2018 г. по 22 июня 2018 г.
330,Истории подделок,https://shikimori.one/animes/x11597-nisemonogatari,8.18,11,TV Сериал,Детектив,516 комментариев,С 8 января 2012 г. по 18 марта 2012 г.
331,Деревенская глубинка 2,https://shikimori.one/animes/z23623-non-non-biyori-repeat,8.18,12,TV Сериал,Комедия,381 комментарий,С 7 июля 2015 г. по 22 сентября 2015 г.
332,Ван-Пис: Z,https://shikimori.one/animes/12859-one-piece-film-z,8.18,1 час 47 мин.,Фильм,Экшен,90 комментариев,
333,Девушки в последнем путешествии,https://shikimori.one/animes/35838-shoujo-shuumatsu-ryokou,8.19,12,TV Сериал,Приключения,456 комментариев,С 6 октября 2017 г. по 22 декабря 2017 г.
334,Кошечка из Сакурасо,https://shikimori.one/animes/13759-sakura-sou-no-pet-na-kanojo,8.18,24,TV Сериал,Повседневность,1318 комментариев,С 9 октября 2012 г. по 26 марта 2013 г.
335,Наруто: Ураганные хроники,https://shikimori.one/animes/z1735-naruto-shippuuden,8.17,500,TV Сериал,Экшен,2524 комментария,С 15 февраля 2007 г. по 23 марта 2017 г.
336,Нодамэ Кантабиле: Парижская глава,https://shikimori.one/animes/4477-nodame-cantabile-paris-hen,8.17,11,TV Сериал,Комедия,21 комментарий,С 10 октября 2008 г. по 19 декабря 2008 г.
337,Боевой континент 2,https://shikimori.one/animes/37822-douluo-dalu-jingying-sai,8.18,52,ONA,Экшен,190 комментариев,
338,Ван-Пис: Жестокий мир,https://shikimori.one/animes/4155-one-piece-film-strong-world,8.17,1 час 55 мин.,Фильм,Экшен,18 комментариев,
339,Магистр дьявольского культа: Чиби,https://shikimori.one/animes/40435-mo-dao-zu-shi-q,8.18,30,ONA,Комедия,45 комментариев,С 31 июля 2020 г. по 29 января 2021 г.
340,Гуррен-Лаганн: На прорыв!,https://shikimori.one/animes/z4107-tengen-toppa-gurren-lagann-movie-1-gurren-hen,8.17,1 час 52 мин.,Фильм,Экшен,27 комментариев,
341,"Прекрасна, как Луна",https://shikimori.one/animes/34822-tsuki-ga-kirei,8.17,12,TV Сериал,Романтика,386 комментариев,С 7 апреля 2017 г. по 30 июня 2017 г.
342,Акира,https://shikimori.one/animes/47-akira,8.17,2 часа 4 мин.,Фильм,Экшен,594 комментария,
343,Детектив Конан: Худший из кошмаров,https://shikimori.one/animes/32005-detective-conan-movie-20-the-darkest-nightmare,8.17,1 час 52 мин.,Фильм,Экшен,24 комментария,
344,Люпен III: Часть V,https://shikimori.one/animes/35857-lupin-iii-part-5,8.17,24,TV Сериал,Экшен,64 комментария,С 4 апреля 2018 г. по 19 сентября 2018 г.
345,Дюрарара!!,https://shikimori.one/animes/z6746-durarara,8.17,24,TV Сериал,Экшен,867 комментариев,С 8 января 2010 г. по 25 июня 2010 г.
346,Граф Монте-Кристо,https://shikimori.one/animes/239-gankutsuou,8.17,24,TV Сериал,Драма,113 комментариев,С 6 октября 2004 г. по 30 марта 2005 г.
347,Аватар короля. Фильм,https://shikimori.one/animes/40080-quanzhi-gaoshou-zhi-dianfeng-rongyao,8.17,1 час 37 мин.,Фильм,Экшен,164 комментария,
348,Кайба,https://shikimori.one/animes/3701-kaiba,8.17,12,TV Сериал,Приключения,87 комментариев,С 11 апреля 2008 г. по 25 июля 2008 г.
349,Репетитор-киллер Реборн!,https://shikimori.one/animes/1604-katekyo-hitman-reborn,8.17,203,TV Сериал,Экшен,630 комментариев,С 7 октября 2006 г. по 25 сентября 2010 г.
350,Лиричная волшебница Наноха 2: Ас,https://shikimori.one/animes/10153-mahou-shoujo-lyrical-nanoha-the-movie-2nd-a-s,8.17,2 часа 30 мин.,Фильм,Экшен,21 комментарий,
351,Сакура — собирательница карт,https://shikimori.one/animes/232-cardcaptor-sakura,8.16,70,TV Сериал,Приключения,380 комментариев,С 7 апреля 1998 г. по 21 марта 2000 г.
